account_id,customer_id,start_date,credit_limit,apr,balance
50208144424033703,23,2006-05-29,27919,.1624,0
4903754179553997,826,2016-07-28,3151,.2624,2372
5610433841643459,304,1993-06-24,6938,.2224,0
201444597462453,296,2011-06-21,11121,.1624,0
4041372946635345,492,2007-01-11,24025,.1624,0
201869714435182,79,2012-02-20,12728,.1624,0
5007663017079804,683,2010-07-21,22401,.1624,0
3589019910889321,93,1994-11-13,26701,.1624,0
3589705931304833,348,2018-08-28,3653,.2624,0
3588365720643973,33,2016-02-22,3748,.2624,3099
5602255988165982,988,1997-05-11,5493,.2624,0
3551685266801567,344,1992-10-11,9095,.1624,5632
3572928503248605,644,1997-05-05,26610,.1624,0
67635518233023012,343,2010-09-04,6515,.2224,0
3567453143732063,570,1998-10-28,19868,.1624,0
3585064218759283,488,2012-04-05,9200,.1624,0
3549090083440563,91,2006-04-24,8766,.1624,0
5002359541150261,953,2003-03-14,5620,.2624,0
3534367656376227,766,2005-04-24,12060,.1624,0
201560911878361,658,1999-01-01,21135,.1624,0
676321157678327799,77,2010-07-15,20409,.1624,9025
67598816888525512,274,2011-12-22,6161,.2224,0
5602258654324529,615,1990-09-09,29902,.1624,0
3587795371688557,80,1995-04-03,20747,.1624,0
5428519868597610,887,1996-10-03,6590,.2224,3624
6373568841989967,66,2013-11-24,11450,.1624,0
3571044618717913,560,2012-11-23,16930,.1624,0
3575805017207706,284,1997-12-01,5078,.2624,0
5602213807488630558,219,1997-10-09,28010,.1624,0
5610550840414606,31,2000-06-14,13226,.1624,0
676776389822100331,692,2018-09-17,3595,.2624,2059
3582477945842029,943,2014-11-05,5811,.2624,0
5100130457200056,842,2001-05-11,8630,.1624,0
5602216864272466,551,1990-05-14,5777,.2624,0
30283431797808,148,2012-12-11,6442,.2224,0
3567675900671072,765,2011-05-26,27752,.1624,2652
3580395486814227,392,2011-02-13,6762,.2224,0
3562206442618929,918,1993-08-19,6666,.2224,0
3546163660297574,65,1996-09-14,22428,.1624,0
5610266453266072,275,1991-12-29,12777,.1624,0
5010125827062961,193,2017-08-17,3057,.2624,1809
3560053344018119,59,2013-09-28,25921,.1624,0
4917779390774373,912,1999-07-17,5480,.2624,0
5439377941493282,478,2011-01-05,25659,.1624,6141
201854169683882,552,2003-02-14,11806,.1624,0
374283414466441,665,2004-12-25,7127,.2224,5511
30145142267852,719,2012-08-11,13278,.1624,0
5602246098664105,182,1996-10-19,5965,.2624,0
5602255630630821,548,2010-05-13,22930,.1624,0
3533047021899209,545,2011-02-11,12581,.1624,0
3529122095872444,931,2000-06-03,6368,.2224,0
3551388272133675,360,2018-08-24,4965,.2224,2045
50206663083111148,984,1997-08-28,5664,.2624,0
201559820074021,685,2000-09-03,17439,.1624,0
372301349474975,808,2018-11-27,4918,.2224,2977
3528941568744439,271,2013-09-20,7481,.2224,5901
30099698432321,769,1995-09-19,6880,.2224,0
3544915595590403,990,2003-08-11,5931,.2624,2496
3560436279442919,4,1990-07-16,7692,.2224,0
3534604591695711,614,1991-07-24,14929,.1624,0
5602231615639202,507,2003-09-11,12151,.1624,10039
3545578151716165,517,2008-06-04,5396,.2624,1340
3561731199050464,220,2015-12-25,3576,.2624,0
4175008559992999,360,2001-05-24,21115,.1624,0
3528088135195321,397,1998-06-06,27166,.1624,0
4508606739750860,805,2006-06-26,11913,.1624,0
5602224095467624,966,1992-11-26,6572,.2224,0
630479698482823249,151,1992-05-14,29928,.1624,0
3553636994175186,921,2001-05-18,5481,.2624,0
3556056497570535,294,1999-10-08,19619,.1624,2267
4905058970644036841,305,2013-05-19,7783,.2224,0
4936090639077397,367,1990-06-28,24234,.1624,0
4911889105584103458,953,2003-05-23,5164,.2624,3931
5292215590711081,350,2016-05-09,3414,.2624,2215
3574028929249051,395,2008-04-01,17906,.1624,0
3580349576645058,44,2009-03-05,7679,.2224,0
3547142839412842,926,1991-10-17,6411,.2224,5889
3566910347715948,861,2003-03-31,5100,.2624,2711
4175006886218963,967,2012-04-10,6625,.2224,0
3539366815879993,94,1997-09-06,14763,.1624,0
3535008518071437,38,2011-10-19,22393,.1624,0
30112119493788,430,2000-03-23,5291,.2624,3201
6706454221119731,591,2006-12-02,23247,.1624,0
5291152069747240,330,1992-08-10,26224,.1624,2182
490368354030259337,965,2017-11-22,3522,.2624,3373
3576843734332027,435,2004-03-03,28307,.1624,0
3566106951723118,685,2014-08-03,9227,.1624,6055
6762389042504384001,685,2004-02-08,17138,.1624,0
3533336653644631,490,1992-11-26,18464,.1624,0
30079917285346,613,1998-03-10,7155,.2224,0
30206594986157,822,1997-05-02,16353,.1624,16213
3546672924848865,509,2004-07-07,29805,.1624,26800
3585350112691155,430,1993-12-06,6296,.2224,5176
201897530586524,357,2009-03-04,10388,.1624,0
5007660359746602,503,1993-01-16,14523,.1624,0
3547550672502661,492,1997-08-29,19694,.1624,0
4041372830755027,887,1999-02-01,6019,.2224,0
3552618090228375,840,2015-06-19,3621,.2624,3004
3549879774187834,306,2015-05-13,3891,.2624,0
3578342274661919,705,2013-08-11,8709,.1624,5342
5007662244556741,805,2001-11-01,13909,.1624,0
3556589051735516,392,2003-01-12,6723,.2224,0
5048378357342370,783,2009-06-25,17251,.1624,16004
5893413433537892199,612,2004-08-20,18961,.1624,0
5602228118213360,263,2011-11-01,23153,.1624,13996
6333092846001819444,847,2003-04-28,13799,.1624,13593
347667565093000,662,2006-01-23,6829,.2224,0
3543302478453580,286,2015-07-08,3720,.2624,0
374622927431261,593,1999-12-25,22975,.1624,0
3563518956798767,625,2004-08-20,9361,.1624,0
3579414668499294,926,1990-02-18,5964,.2624,3149
4017954826560535,950,2018-06-28,4322,.2224,0
3581347384572943,294,2008-09-09,12019,.1624,0
676705299762761032,744,2006-03-08,9709,.1624,0
6759020112909757,688,2011-01-20,27176,.1624,0
3563533846696683,216,1991-12-13,23561,.1624,0
3560141011199971,516,1990-06-10,6655,.2224,0
50203401752082610,324,1990-08-28,15980,.1624,0
5602246386067849641,684,2016-02-01,4790,.2224,0
5602251114445471,227,1991-01-14,5467,.2624,4562
3576238337965879,133,2006-04-17,7453,.2224,0
30460329139653,708,1991-07-21,27111,.1624,0
201610654715104,922,2000-12-02,5264,.2624,5159
0604351534606751693,956,2016-11-08,4086,.2224,0
67094607952724332,590,2013-03-30,19855,.1624,16335
3584981539549534,236,1994-06-28,14298,.1624,5845
6334878014378288,931,2012-12-25,6057,.2224,0
4936210730342134623,410,2012-08-08,9136,.1624,0
3576082433186133,351,1997-03-27,5375,.2624,0
201495113373871,897,2004-04-28,6193,.2224,0
670919667460158898,497,1999-02-04,17088,.1624,0
3531414217685622,895,2007-09-21,5741,.2624,0
6334818677310426,824,2003-04-25,9426,.1624,0
3583306376605812,890,2011-07-14,6216,.2224,0
3533509829103712,280,2009-09-30,24041,.1624,0
5007665069649053,452,1993-12-13,6405,.2224,0
5193164791735913,856,1992-09-15,6578,.2224,0
30125212453178,783,2017-09-03,3440,.2624,0
3575519760963569,742,2015-12-12,4409,.2224,1945
50203678927627631,292,2014-06-04,24404,.1624,0
3569102754212372,751,2000-06-22,13308,.1624,0
30490121189812,786,2006-07-24,8337,.1624,0
5100149835033146,256,2014-08-06,14603,.1624,0
201546939622402,97,1994-02-27,27281,.1624,23909
3554342422400457,623,2005-09-16,17330,.1624,0
5610346859658831,525,2000-11-20,19309,.1624,0
5483130003015484,634,2006-02-11,6631,.2224,0
501865287690142496,294,2003-09-03,14989,.1624,8982
3579766157671331,649,2001-08-15,22375,.1624,0
633498313426292052,163,1993-10-06,9416,.1624,8688
4121350714903452,972,2005-09-10,5430,.2624,0
3535837558063924,238,1993-07-03,6136,.2224,0
3539065248007343,990,2002-11-19,6045,.2224,0
4041592068706406,926,2013-12-08,6744,.2224,0
3579875691200406,378,2004-11-20,27527,.1624,0
3558504999470561,109,2011-04-01,29246,.1624,0
56022466925300468,597,1990-10-03,19889,.1624,7042
337941022324882,22,1993-01-26,26237,.1624,0
4917759048116938,634,1994-12-14,6202,.2224,0
3551548055039585,314,2013-07-17,5000,.2624,0
676270952745861726,532,2004-07-15,13835,.1624,0
30026544243487,909,1992-03-21,5257,.2624,3979
5602239133489281,247,1995-12-26,19076,.1624,0
4913117758802318,838,2001-06-07,18354,.1624,0
3544509537423615,952,2000-06-29,5367,.2624,0
3580572956822852,593,2017-03-15,4729,.2224,0
5002359768529643,676,2006-10-08,25054,.1624,0
36742083245881,187,2007-07-01,10721,.1624,8189
3539875289136185,431,2013-04-22,17846,.1624,0
4936060950423366206,279,1992-01-05,15533,.1624,0
3561265464843048,658,2018-09-23,4246,.2224,1389
372301848108694,62,2002-05-16,20382,.1624,0
3559254724048733,193,2006-09-26,23930,.1624,0
3580119595347683,226,1993-10-19,14478,.1624,2885
5048375890331852,19,2012-03-24,29812,.1624,0
5108753171420197,817,2014-08-04,25738,.1624,0
3586012601498471,943,2002-07-30,5264,.2624,0
3574184882777214,814,2016-10-01,3885,.2624,0
3554313865081609,714,2007-01-03,22541,.1624,15813
6763572624460416615,271,2012-03-08,21636,.1624,0
3576658330201214,68,2013-09-18,15838,.1624,0
3588100591853264,576,2010-11-30,17851,.1624,0
5010122605101624,105,1993-11-16,24502,.1624,21242
5602243462603595,251,2014-12-31,23674,.1624,0
6709789041507400,724,2009-03-07,7578,.2224,0
5108860640108210,682,1994-11-14,27893,.1624,18461
3571413756029946,866,2016-08-27,3061,.2624,2485
3534175568814593,544,2004-06-27,8442,.1624,0
4911064786092557,559,1991-03-29,6470,.2224,6453
56022421897185702,207,1999-01-26,9922,.1624,0
4844683370363330,703,2002-11-17,25384,.1624,0
67066949938577507,959,2008-05-04,6561,.2224,2832
5100173219310094,766,1998-12-13,8148,.1624,0
3558870053007429,981,2009-05-05,5946,.2624,0
3575904940607452,626,1992-03-10,19084,.1624,7670
30069887587862,464,2004-04-25,13285,.1624,0
4508155460361794,822,1993-03-07,27632,.1624,0
